_id,name,role,email,password,createdAt,updatedAt,__v,isAdmin,chartData
5e236763effc9f5547472fbb,Eula,author,delkud@uwu.ir,password,04/28/1926,05/05/1929,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Alberta,author,so@ajovaloda.lt,password,11/18/2056,04/07/2052,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Victoria,author,sug@en.is,password,12/14/1953,07/07/1973,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Don,author,pudiwe@bi.bi,password,07/20/1953,04/04/2049,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Eula,author,temjih@docacfik.il,password,08/03/1989,02/22/1900,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Olivia,author,tonwuc@javwekja.sj,password,11/10/1951,09/04/1940,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Elva,author,tehsic@timulunu.kr,password,06/30/1904,02/12/2066,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Vincent,author,nos@go.mh,password,04/19/1969,06/03/1945,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Lora,author,fet@pevteh.an,password,02/15/1911,10/18/1927,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Sean,author,gupiof@tocjaavu.ax,password,05/28/2049,04/21/2064,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Fred,author,fukut@gacijimuf.ps,password,08/05/1904,04/23/1976,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Carolyn,author,zeb@recmu.bo,password,09/29/1981,08/04/2039,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Daisy,author,vis@uruhein.ca,password,06/28/1950,04/29/1922,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Max,author,daranu@ipajuv.cn,password,06/21/1984,06/21/2042,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Pearl,author,su@sanej.iq,password,07/16/1997,07/10/2062,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Carrie,author,ih@nabvugdeg.vc,password,08/07/1984,08/12/2051,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Jacob,author,situs@uputa.tr,password,05/15/2017,01/22/2061,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Polly,author,oto@camvo.hk,password,05/19/2012,05/09/1940,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Minnie,author,bema@bofukvom.bv,password,10/01/2051,01/20/2001,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Mario,author,unupoese@vitek.im,password,10/24/2035,12/20/2023,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Julia,author,sidagdip@lojke.ro,password,10/10/2005,02/28/1901,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Leila,author,diwow@fictifov.sd,password,11/12/2056,09/22/1921,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Kyle,author,epo@tez.sy,password,08/31/1904,12/20/1927,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Austin,author,ektew@bar.th,password,01/20/2004,05/26/2038,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Brandon,author,ejpu@kiemap.mz,password,01/18/1986,09/23/1971,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Cynthia,author,ud@dug.th,password,10/16/2027,08/25/2007,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Luke,author,nop@owari.li,password,10/22/2027,01/06/1992,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Bettie,author,za@wawiktom.jm,password,05/08/1907,03/26/2065,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Alta,author,jeuz@dejga.ir,password,08/27/1957,02/19/2053,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Eugenia,author,hisofkaj@sisuzur.nu,password,04/29/2067,05/07/2049,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Gordon,author,gu@uhi.sc,password,03/20/1956,12/29/2021,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Lida,author,rurhedo@gilave.sk,password,03/18/2050,12/28/2034,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Cecilia,author,durow@uci.mg,password,06/08/1949,07/01/1966,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Lucille,author,jil@zizdu.us,password,12/26/1975,02/16/2018,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Sean,author,pehli@deih.gu,password,05/26/1922,07/29/1955,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Adelaide,author,jawjat@go.ky,password,05/20/2035,03/01/1991,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Alta,author,bih@seven.mr,password,09/09/1999,12/14/2009,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Paul,author,urumut@hefocfu.bw,password,02/26/2058,01/31/1969,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Claudia,author,wotir@val.org,password,08/05/1996,01/30/2040,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Troy,author,wu@ek.jm,password,02/02/2063,03/01/1929,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Earl,author,tela@nebolku.gi,password,11/21/2065,01/09/1909,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Bess,author,ovgehe@tovvihu.st,password,09/22/2063,10/08/2021,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Ethel,author,vefzube@zijam.cr,password,03/19/1911,09/25/2070,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Henrietta,author,ka@ja.iq,password,06/06/1932,05/21/1939,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Glen,author,adibag@aszin.ky,password,02/21/2011,05/05/1942,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Alex,author,sa@gum.hr,password,03/11/1911,03/24/2030,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Isaac,author,sipidemog@dewik.bm,password,09/08/2034,01/30/1958,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Henry,author,jugfus@beliul.sa,password,11/02/2039,03/26/1928,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Elva,author,hojgaiwu@ugi.la,password,12/27/2070,08/26/1983,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Connor,author,owcubcit@motmicdud.sa,password,12/17/2033,01/31/2062,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Eugenia,author,sag@di.gd,password,01/05/1900,10/06/2055,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Micheal,author,rojev@zu.ar,password,08/17/2029,02/19/2035,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Ricardo,author,ledar@orokanjab.cy,password,05/16/1969,02/10/1925,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Fanny,author,raguidi@re.ph,password,09/25/1944,05/15/2026,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Gabriel,author,teev@wonej.za,password,03/08/2036,01/04/1976,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Warren,author,tahi@cop.za,password,02/28/1995,11/20/1912,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Ina,author,ibi@ruhce.ar,password,04/30/1981,09/08/2065,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Catherine,author,lafamum@jokepsam.sd,password,05/21/2021,06/11/2024,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Kate,author,nifiz@tukmiwut.vu,password,09/03/1994,12/21/2047,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Christian,author,se@wi.hn,password,03/26/1999,06/07/1931,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Verna,author,kokuce@cih.mv,password,10/29/2004,12/12/1940,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Delia,author,lukletna@ibi.io,password,10/10/2010,12/25/1959,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Cole,author,li@hagvuum.tt,password,07/11/2016,06/27/1934,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Mitchell,author,fugpam@bojon.gl,password,11/15/2023,10/14/1986,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Raymond,author,zuzag@odilu.bj,password,07/07/1945,02/23/1918,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Jeremy,author,imizo@ukaw.ie,password,07/20/2017,06/26/2016,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Iva,author,vitnod@adze.sv,password,09/23/1932,07/09/2065,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Lida,author,okfuhsor@behahpa.io,password,01/04/1964,10/07/2037,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Millie,author,gaiwmos@du.sc,password,10/25/1959,01/02/2016,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Hannah,author,wovisfe@lez.za,password,04/15/2018,03/04/1965,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Matthew,author,uzela@fi.nr,password,12/10/2017,10/31/1945,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Kate,author,mumif@amuba.be,password,06/14/2045,12/09/2028,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Catherine,author,eseas@la.nl,password,03/31/2052,02/08/1954,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Gene,author,aw@soriir.tz,password,08/22/1935,12/22/2035,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Seth,author,et@law.ro,password,11/20/1915,07/12/1961,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Dominic,author,barbe@zuko.kw,password,03/02/2045,01/19/2048,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Leo,author,hecmufod@wousuuc.mn,password,08/24/1912,02/21/1933,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Leah,author,guwo@wo.fr,password,02/23/2004,01/20/1976,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Andrew,author,egehoj@juk.gd,password,10/06/1957,12/29/2005,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Nelle,author,vi@gajkew.bg,password,04/16/2048,07/26/2067,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Katharine,author,hid@cikzehzi.sg,password,01/22/1948,09/23/2012,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Evelyn,author,sigim@joama.ba,password,03/15/1923,04/10/2043,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Addie,author,pedhuda@mubbujoti.jo,password,08/18/2064,08/02/2025,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Evan,author,wusaw@bi.kp,password,08/15/1956,07/07/1925,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Estelle,author,do@pirlockiv.my,password,05/07/1986,05/02/1964,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Eugene,author,ofain@id.ph,password,01/04/1924,03/21/2004,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Joel,author,akmab@nobol.ao,password,04/19/2032,01/31/2001,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Betty,author,im@afurebpi.zm,password,05/20/2069,07/11/1950,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Francisco,author,ecreefi@kecuk.qa,password,07/20/2049,04/06/2039,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Theodore,author,hi@zoudo.sk,password,08/07/1919,05/08/1955,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
